AS번호,접수일시,처리상태,처리완료일,주문번호,고객명,고객연락처,제품명,문제유형,증상설명,처리내용,처리결과,배송비,수리비,부품비,총비용,메모
cmkm88tgu01vlo40s9fei4ewt,2026-01-20T06:42:41.070Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm88tgm01vjo40sjwsof50x,2026-01-20T06:42:41.063Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm88tgi01vho40sv7r14rtf,2026-01-20T06:42:41.059Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm88tg901vfo40s8qyx4svd,2026-01-20T06:42:41.049Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm88tg501vdo40s75xs56c8,2026-01-20T06:42:41.045Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm88tfz01vbo40sb97alsdk,2026-01-20T06:42:41.040Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lc0i01s1o40s9wtgghew,2026-01-20T05:28:26.130Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lc0e01rzo40sssfi2f6r,2026-01-20T05:28:26.127Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lc0901rxo40smllniuv2,2026-01-20T05:28:26.121Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lc0501rvo40s3k6ktr60,2026-01-20T05:28:26.117Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lc0101rto40s4sbqr1l3,2026-01-20T05:28:26.113Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbzy01rro40s1n7tj3gg,2026-01-20T05:28:26.110Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbzu01rpo40skhsoc1qd,2026-01-20T05:28:26.106Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbzq01rno40shey2bld9,2026-01-20T05:28:26.103Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbzn01rlo40s9969s6rc,2026-01-20T05:28:26.099Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbzj01rjo40s2nuiysf4,2026-01-20T05:28:26.096Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbzf01rho40s37ty5grv,2026-01-20T05:28:26.092Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbzc01rfo40s6mc6mkfm,2026-01-20T05:28:26.088Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbz801rdo40sn3nah0bf,2026-01-20T05:28:26.085Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbz501rbo40sujyfh5yq,2026-01-20T05:28:26.082Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbz201r9o40skiebzg9c,2026-01-20T05:28:26.078Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbyy01r7o40s2enstj2y,2026-01-20T05:28:26.074Z,AS,,,,,?3,OTHER,"","",,0,0,0,0,""
cmkm5lbyv01r5o40samiitt23,2026-01-20T05:28:26.071Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbyr01r3o40sh7r40k5z,2026-01-20T05:28:26.068Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbyo01r1o40sja924q54,2026-01-20T05:28:26.064Z,AS,,,,,?3,OTHER,"","",,0,0,0,0,""
cmkm5lbyj01qzo40smah9lii3,2026-01-20T05:28:26.060Z,AS,,,,,?3(????X),OTHER,"","",,0,0,0,0,""
cmkm5lbyf01qxo40s5fespalb,2026-01-20T05:28:26.056Z,AS,,,,,?2 ?(?),OTHER,"","",,0,0,0,0,""
cmkm5lbyc01qvo40sof4c8kcg,2026-01-20T05:28:26.052Z,EXCHANGE,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lby901qto40sqvmpsn77,2026-01-20T05:28:26.049Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lby501qro40ska4auitq,2026-01-20T05:28:26.046Z,AS,,,,,?3,OTHER,"","",,0,0,0,0,""
cmkm5lby201qpo40s5sgask0i,2026-01-20T05:28:26.042Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxz01qno40smh2w0scg,2026-01-20T05:28:26.039Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxv01qlo40sde1aqswq,2026-01-20T05:28:26.036Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxs01qjo40se6cgajcp,2026-01-20T05:28:26.032Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxo01qho40sl7c6g8jx,2026-01-20T05:28:26.028Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxl01qfo40saibwr2ih,2026-01-20T05:28:26.025Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxh01qdo40sigeiq5sy,2026-01-20T05:28:26.022Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbxe01qbo40slekp5chu,2026-01-20T05:28:26.018Z,AS,,,,,?3(?),OTHER,"","",,0,0,0,0,""
cmkm5lbxb01q9o40sbjejtl5y,2026-01-20T05:28:26.015Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbx701q7o40sxbe07fsh,2026-01-20T05:28:26.011Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
